region_id,image_id,tile_id,area,foci_count_rad51,foci_count_probs,foci_fraction_rad51,foci_fraction_probs
27,A1,tile_04,1594.0,6,3,0.011825317391178643,0.005912658710551531
28,A1,tile_04,152.0,0,0,0.0,0.0
29,A1,tile_04,129.0,0,0,0.0,0.0
30,A1,tile_04,1309.0,1,0,0.0023999943877691314,0.0
31,A1,tile_04,837.0,2,0,0.007506792481696041,0.0
32,A1,tile_04,803.0,1,0,0.0039123196184181735,0.0
33,A1,tile_04,821.0,3,2,0.011479632108123482,0.0
34,A1,tile_04,107.0,0,0,0.0,0.0
35,A1,tile_04,140.0,0,0,0.0,0.0
1,A1,tile_05,991.0,8,0,0.03275794559747178,0.0
2,A1,tile_05,948.0,0,0,0.0,0.0
3,A1,tile_05,57.0,0,0,0.0,0.0
4,A1,tile_05,517.0,6,3,0.03645948920993957,0.018229744651100853
5,A1,tile_05,897.0,8,1,0.03074270031383546,0.0
6,A1,tile_05,222.0,0,0,0.0,0.0
7,A1,tile_05,983.0,8,2,0.028053104965931237,0.006391846878967595
8,A1,tile_05,1273.0,13,3,0.03208225019376851,0.004935730936390531
9,A1,tile_05,1799.0,22,8,0.041523119502700025,0.013970394675237328
10,A1,tile_05,1210.0,11,3,0.030579322431636188,0.007789072714561273
11,A1,tile_05,218.0,2,0,0.06564999938694266,0.0
12,A1,tile_05,1569.0,17,4,0.04649761805823007,0.008009159314244929
13,A1,tile_05,959.0,12,4,0.04185878289454597,0.013103619357716676
14,A1,tile_05,1164.0,9,4,0.02429066484734376,0.010795851343685818
15,A1,tile_05,1318.0,6,6,0.020393073202361667,0.009534424100189903
16,A1,tile_05,2037.0,36,6,0.07025871313870154,0.009253586631928464
17,A1,tile_05,1459.0,13,7,0.027992258051177048,0.012919503748621166
18,A1,tile_05,467.0,3,1,0.10389754433713566,0.006727179316943411
19,A1,tile_05,1236.0,14,2,0.07568741740040136,0.005083483399696721
20,A1,tile_05,1038.0,6,7,0.03732785105421398,0.021186077066469286
21,A1,tile_05,1256.0,5,1,0.01250634018148803,0.00250126810590173
22,A1,tile_05,1255.0,17,7,0.04644940001323555,0.01752282708764551
23,A1,tile_05,1247.0,9,6,0.024633355922293664,0.007557961495283994
24,A1,tile_05,1380.0,21,6,0.055901125317499564,0.011382582567740178
25,A1,tile_05,489.0,0,0,0.0,0.0
26,A1,tile_05,1353.0,13,9,0.040247060356410264,0.01625362009977466
27,A1,tile_05,942.0,9,5,0.03520303162196631,0.013340096564809228
28,A1,tile_05,1226.0,7,5,0.0335968763026641,0.012812368632529728
29,A1,tile_05,1533.0,9,2,0.023680918748520585,0.00409862066668307
30,A1,tile_05,1222.0,6,1,0.015425168511897512,0.0
31,A1,tile_05,1375.0,18,5,0.0733672951020162,0.009139178882945668
32,A1,tile_05,225.0,2,1,0.027925268031909273,0.013962634404500325
33,A1,tile_05,1101.0,15,4,0.05231232090446219,0.011413597605858576
34,A1,tile_05,1776.0,14,10,0.0247648069539736,0.015920232008169364
35,A1,tile_05,305.0,3,0,0.03090091134678485,0.0
36,A1,tile_05,1553.0,6,0,0.01213751186190519,0.0
37,A1,tile_05,61.0,1,0,0.09155825584232548,0.0
38,A1,tile_05,1402.0,6,0,0.013444761712937774,0.0
39,A1,tile_05,928.0,5,6,0.01692668455597949,0.01692668528392397
40,A1,tile_05,1814.0,17,6,0.02944160700718109,0.010391155440594421
41,A1,tile_05,2213.0,12,0,0.01703529681115116,0.0
42,A1,tile_05,2032.0,6,8,0.009276356260599783,0.007730297216280239
43,A1,tile_05,1480.0,9,5,0.0191042796502082,0.008490791191925874
44,A1,tile_05,1042.0,2,3,0.006029928317830697,0.00301496424281437
1,A1,tile_06,1956.0,19,4,0.03426413255448991,0.0032122625163727744
2,A1,tile_06,1922.0,34,12,0.08354333568339145,0.019614522340518505
3,A1,tile_06,1596.0,13,9,0.039149616053506905,0.017715746896308764
4,A1,tile_06,1335.0,18,5,0.04837242121632226,0.01176626512620333
5,A1,tile_06,980.0,9,4,0.03846848147252808,0.012822827514337033
6,A1,tile_06,1919.0,16,7,0.028740179449203138,0.0032741977498828277
7,A1,tile_06,1285.0,9,6,0.04672321110397271,0.014668915151158195
8,A1,tile_06,1455.0,17,7,0.0686136310749661,0.015114191061852314
9,A1,tile_06,1739.0,5,0,0.00903275633579584,0.0
10,A1,tile_06,966.0,11,8,0.07371576964944995,0.026017329214028936
11,A1,tile_06,987.0,6,0,0.01909782768139692,0.0
12,A1,tile_06,1592.0,20,10,0.04451028117523228,0.019733620648408057
13,A1,tile_06,1711.0,30,4,0.07120045691946478,0.007344459943921854
14,A1,tile_06,1463.0,25,10,0.05917179145517346,0.021473632311869873
15,A1,tile_06,1666.0,25,8,0.05761891288096528,0.015085678283764678
16,A1,tile_06,1026.0,8,4,0.024495849150797607,0.0
17,A1,tile_06,1576.0,10,3,0.0199339635380063,0.005980189076534988
