image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_02,18,995.0,20,0.17786571472585427,14,0.115419763599223,8,0.0652525107278282,5,0.2245247845673681,0,0.0,0,0.0
A1,tile_02,19,1232.0,15,0.05156654608165064,8,0.02238328099148572,6,0.017283292917476316,7,0.11191641819941534,1,0.028333270704591428,0,0.0
A1,tile_02,20,925.0,18,0.206420562343978,16,0.1475510783848179,14,0.052831588168477016,4,0.14340003761085304,2,0.09207791715054899,1,0.05434106362832559
A1,tile_02,21,2222.0,39,0.12300565295333572,31,0.04854246074403674,20,0.03299002186487933,8,0.07163548920199637,0,0.0,0,0.0
A1,tile_02,22,1082.0,18,0.12130199607206432,12,0.05290831743568763,6,0.03032549901801607,5,0.16324152920030183,2,0.06226405991644163,1,0.04645608489482548
A1,tile_02,23,769.0,10,0.15751085837244014,8,0.0730814069105558,6,0.03994511682067646,3,0.18565402384387192,2,0.12028928044868539,2,0.12028928044868539
A1,tile_02,24,1362.0,23,0.054845882514946646,14,0.03229243549945456,10,0.023066025356753252,8,0.14992918667114077,2,0.04151884574722088,0,0.0
A1,tile_02,25,1272.0,6,0.014818833271649968,3,0.007409416635824984,2,0.004939611090549989,3,0.030186515184318495,3,0.030186515184318495,2,0.020307291978560155
A1,tile_02,26,1670.0,21,0.03950505732059023,12,0.022574318468908693,7,0.013168352440196738,10,0.1038836816113866,6,0.07754696600451441,3,0.03198028610138122
A1,tile_02,27,972.0,16,0.0797249164491237,8,0.03160266958343642,5,0.016160456036984534,6,0.14867620899844072,1,0.01759694338825995,1,0.01759694338825995
A1,tile_02,28,443.0,8,0.05673305017769378,6,0.04254978763327034,4,0.02836652508884689,3,0.111890185767318,2,0.09219120964239737,0,0.0
A1,tile_03,1,734.0,1,0.004280098983092361,1,0.004280098983092361,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_03,2,300.0,4,0.041887902047863905,4,0.041887902047863905,2,0.020943951023931952,2,0.10355621337890625,2,0.10355621337890625,2,0.10355621337890625
A1,tile_03,3,1052.0,14,0.05541254469259563,11,0.035172034355779265,4,0.014267900729231212,6,0.183491855519806,4,0.08859371141789077,0,0.0
A1,tile_03,4,1132.0,14,0.038853619390686496,10,0.027752585279061777,8,0.02220206822324942,7,0.12056957285311534,5,0.10792672255013941,3,0.052421552974849205
A1,tile_03,5,729.0,3,0.012928364829587626,0,0.0,0,0.0,1,0.011970709707838353,0,0.0,0,0.0
A1,tile_03,6,866.0,2,0.007255410285426774,1,0.003627705142713387,1,0.003627705142713387,2,0.024587780994300753,2,0.024587780994300753,2,0.024587780994300753
A1,tile_03,7,786.0,9,0.035972434964768624,4,0.015987748873230498,3,0.011990811654922875,5,0.11990811685266083,2,0.06617152478555383,0,0.0
A1,tile_03,8,1157.0,12,0.03258350202513182,6,0.01629175101256591,3,0.008145875506282955,7,0.10619807923365587,7,0.10619807923365587,4,0.07301118235806504
